id	level?	var_of_level?	effect1_desc	effect2_desc	effect3_desc?
1	1	1	P. Def. +15.4		
2	1	1	M. Def. +12.3		
3	1	1	Maximum HP +59.4		
4	1	1	Maximum MP +18.3		
5	1	1	Maximum CP +82.1		
6	1	1	P. Atk. +6.6		
7	1	1	M. Atk. +7.5		
8	1	1	HP Recovery +0.3		
9	1	1	MP Recovery +0.1		
10	1	1	CP Recovery +0.3		
11	1	1	Dodge +1.6		
12	1	1	Accuracy +1.6		
13	1	1	Critical +15.5		
14	1	1	P. Def. +7.7	M. Def. +6.1	
15	1	1	P. Def. +7.7	Maximum HP +29.7	
16	1	1	P. Def. +7.7	Maximum MP +9.1	
17	1	1	P. Def. +7.7	Maximum CP +41	
18	1	1	P. Def. +7.7	P. Atk. +3.3	
19	1	1	P. Def. +7.7	M. Atk. +3.7	
20	1	1	P. Def. +7.7	HP Recovery +0.1	
21	1	1	P. Def. +7.7	MP Recovery +0.1	
22	1	1	P. Def. +7.7	CP Recovery +0.1	
23	1	1	P. Def. +7.7	Dodge +0.8	
24	1	1	P. Def. +7.7	Accuracy +0.8	
25	1	1	P. Def. +7.7	Critical +7.8	
26	1	1	M. Def. +6.1	Maximum HP +29.7	
27	1	1	M. Def. +6.1	Maximum MP +9.1	
28	1	1	M. Def. +6.1	Maximum CP +41	
29	1	1	M. Def. +6.1	P. Atk. +3.3	
30	1	1	M. Def. +6.1	M. Atk. +3.7	
31	1	1	M. Def. +6.1	HP Recovery +0.1	
32	1	1	M. Def. +6.1	MP Recovery +0.1	
33	1	1	M. Def. +6.1	CP Recovery +0.1	
34	1	1	M. Def. +6.1	Dodge +0.8	
35	1	1	M. Def. +6.1	Accuracy +0.8	
36	1	1	M. Def. +6.1	Critical +7.8	
37	1	1	Maximum HP +29.7	Maximum MP +9.1	
38	1	1	Maximum HP +29.7	Maximum CP +41	
39	1	1	Maximum HP +29.7	P. Atk. +3.3	
40	1	1	Maximum HP +29.7	M. Atk. +3.7	
41	1	1	Maximum HP +29.7	HP Recovery +0.1	
42	1	1	Maximum HP +29.7	MP Recovery +0.1	
43	1	1	Maximum HP +29.7	CP Recovery +0.1	
44	1	1	Maximum HP +29.7	Dodge +0.8	
45	1	1	Maximum HP +29.7	Accuracy +0.8	
46	1	1	Maximum HP +29.7	Critical +7.8	
47	1	1	Maximum MP +9.1	Maximum CP +41	
48	1	1	Maximum MP +9.1	P. Atk. +3.3	
49	1	1	Maximum MP +9.1	M. Atk. +3.7	
50	1	1	Maximum MP +9.1	HP Recovery +0.1	
51	1	1	Maximum MP +9.1	MP Recovery +0.1	
52	1	1	Maximum MP +9.1	CP Recovery +0.1	
53	1	1	Maximum MP +9.1	Dodge +0.8	
54	1	1	Maximum MP +9.1	Accuracy +0.8	
55	1	1	Maximum MP +9.1	Critical +7.8	
56	1	1	Maximum CP +41	P. Atk. +3.3	
57	1	1	Maximum CP +41	M. Atk. +3.7	
58	1	1	Maximum CP +41	HP Recovery +0.1	
59	1	1	Maximum CP +41	MP Recovery +0.1	
60	1	1	Maximum CP +41	CP Recovery +0.1	
61	1	1	Maximum CP +41	Dodge +0.8	
62	1	1	Maximum CP +41	Accuracy +0.8	
63	1	1	Maximum CP +41	Critical +7.8	
64	1	1	P. Atk. +3.3	M. Atk. +3.7	
65	1	1	P. Atk. +3.3	HP Recovery +0.1	
66	1	1	P. Atk. +3.3	MP Recovery +0.1	
67	1	1	P. Atk. +3.3	CP Recovery +0.1	
68	1	1	P. Atk. +3.3	Dodge +0.8	
69	1	1	P. Atk. +3.3	Accuracy +0.8	
70	1	1	P. Atk. +3.3	Critical +7.8	
71	1	1	M. Atk. +3.7	HP Recovery +0.1	
72	1	1	M. Atk. +3.7	MP Recovery +0.1	
73	1	1	M. Atk. +3.7	CP Recovery +0.1	
74	1	1	M. Atk. +3.7	Dodge +0.8	
75	1	1	M. Atk. +3.7	Accuracy +0.8	
76	1	1	M. Atk. +3.7	Critical +7.8	
77	1	1	HP Recovery +0.1	MP Recovery +0.1	
78	1	1	HP Recovery +0.1	CP Recovery +0.1	
79	1	1	HP Recovery +0.1	Dodge +0.8	
